4/9/2020	$ 10.276,10	$ 383,60	$ 48,24	$ 79,33
3/9/2020	$ 11.366,40	$ 443,35	$ 57,55	$ 90,03
2/9/2020	$ 11.839,90	$ 470,25	$ 62,39	$ 95,81
1/9/2020	$ 11.695,40	$ 443,87	$ 61,72	$ 93,84
31/8/2020	$ 11.685,90	$ 425,25	$ 62,35	$ 95,79
30/8/2020	$ 11.617,90	$ 405,18	$ 58,76	$ 93,54
29/8/2020	$ 11.507,30	$ 394,75	$ 57,52	$ 95,11
28/8/2020	$ 11.383,30	$ 387,43	$ 56,58	$ 90,88
27/8/2020	$ 11.392,50	$ 384,34	$ 57,92	$ 88,81
26/8/2020	$ 11.371,00	$ 386,34	$ 58,01	$ 89,22
25/8/2020	$ 11.674,30	$ 401,49	$ 61,03	$ 92,85
24/8/2020	$ 11.684,10	$ 393,23	$ 61,52	$ 91,37
23/8/2020	$ 11.603,00	$ 389,99	$ 58,86	$ 92,86
22/8/2020	$ 11.475,90	$ 385,64	$ 59,33	$ 92,23
21/8/2020	$ 11.868,60	$ 416,04	$ 63,74	$ 102,77
20/8/2020	$ 11.705,40	$ 407,22	$ 62,09	$ 91,86
19/8/2020	$ 11.845,00	$ 415,80	$ 62,71	$ 92,11
18/8/2020	$ 12.313,90	$ 430,59	$ 67,09	$ 93,16
17/8/2020	$ 11.848,10	$ 425,90	$ 63,51	$ 90,28
16/8/2020	$ 11.929,70	$ 426,97	$ 61,48	$ 90,76
15/8/2020	$ 11.897,80	$ 439,62	$ 57,74	$ 90,66
14/8/2020	$ 11.743,20	$ 421,67	$ 56,31	$ 90,97
13/8/2020	$ 11.576,30	$ 394,75	$ 54,65	$ 89,58
12/8/2020	$ 11.372,80	$ 377,15	$ 53,68	$ 86,53
11/8/2020	$ 11.838,30	$ 394,45	$ 58,50	$ 93,84
10/8/2020	$ 12.027,80	$ 397,85	$ 58,26	$ 94,46
9/8/2020	$ 11.745,00	$ 395,46	$ 58,09	$ 93,59
8/8/2020	$ 11.557,30	$ 378,35	$ 56,80	$ 92,06
7/8/2020	$ 11.831,80	$ 395,77	$ 59,59	$ 93,80
6/8/2020	$ 11.658,50	$ 395,86	$ 58,39	$ 89,33
5/8/2020	$ 11.240,80	$ 389,27	$ 57,51	$ 87,32
4/8/2020	$ 11.265,10	$ 391,13	$ 58,32	$ 87,70
3/8/2020	$ 11.133,80	$ 379,25	$ 57,19	$ 85,50
2/8/2020	$ 11.996,80	$ 407,65	$ 64,96	$ 90,61
1/8/2020	$ 11.370,30	$ 352,43	$ 59,40	$ 84,54
31/7/2020	$ 10.990,90	$ 329,38	$ 56,00	$ 81,09
30/7/2020	$ 11.001,80	$ 316,53	$ 54,74	$ 79,50
29/7/2020	$ 10.984,00	$ 316,67	$ 56,18	$ 82,17
28/7/2020	$ 10.985,90	$ 319,64	$ 53,52	$ 81,72
27/7/2020	$ 10.266,40	$ 325,50	$ 48,76	$ 77,81
26/7/2020	$ 9.683,74	$ 303,15	$ 48,68	$ 75,62
25/7/2020	$ 9.588,80	$ 283,17	$ 47,01	$ 72,54
24/7/2020	$ 9.567,65	$ 274,40	$ 44,82	$ 72,57
